ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"173.212.231.105","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","3128","socks4","315","1","2023-02-24T17:08:09.826Z","99","1055","1061"
"212.5.143.42","elite","AS8866","BG","Bulgarian Telecommunications Company Plc.","40","BTC Broadband","3366","socks4","669","1","2023-02-24T17:08:09.782Z","99","1008","1014"
"188.255.247.193","elite","AS52116","RS","Orion Telekom Tim d.o.o.Beograd","47","Orion Telekom Tim d.o.o.Beograd","5678","socks4","1040","1","2023-02-24T17:08:09.645Z","95","956","1003"
"200.81.147.1","elite","AS270934","BR","Silva de Sá Informática LTDA","186","Silva de Sá Informática LTDA","1080","socks4","1136","1","2023-02-24T17:08:09.425Z","100","1118","1121"
"178.62.79.49","elite","AS14061","GB","DigitalOcean, LLC","14","Digital Ocean","16614","socks5","1173","1","2023-02-24T17:08:09.628Z","100","1059","1061"
"178.44.113.205","elite","AS12389","RU","JSC VolgaTelecom","74","OJSC Volgatelecom in the Kirov region","53281","socks5","1163","1","2023-02-24T17:08:09.630Z","100","1018","1019"
"31.209.96.173","elite","AS197792","CY","Multimax Iletisim Limited","68","N/A","51688","socks4","758","1","2023-02-24T17:08:09.759Z","100","1116","1119"
"50.63.13.3","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","23076","socks5","497","1","2023-02-24T17:08:09.923Z","99","994","999"
"103.217.213.145","elite","AS45582","IN","E Net Entertainment Pvt Ltd","184","E Net Entertainment Pvt Ltd","4145","socks4","1105","1","2023-02-24T17:08:09.423Z","98","1089","1108"
"188.255.245.253","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","36","Orion Telekom Tim d.o.o.Beograd","1080","socks4","1043","1","2023-02-24T17:08:08.691Z","100","1109","1109"
"38.127.179.194","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","730","1","2023-02-24T17:08:08.024Z","100","1050","1052"
"146.196.96.178","anonymous","AS38320","ID","PT Maxindo Mitra Solusi","210","PT Javaz","3889","http","987","1737","2023-02-24T17:08:08.708Z","100","1000","1004"
"45.229.192.61","elite","AS267757","CO","Interlans S.A.S","181","INTERLANS","5678","socks4","638","1","2023-02-24T17:08:08.025Z","97","1011","1044"
"34.102.179.21","elite","AS396982","US","Google LLC","1","Google Cloud","80","socks4","1056","1","2023-02-24T17:08:08.020Z","100","1000","1000"
"180.180.12.51","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","955","1","2023-02-24T17:08:08.000Z","100","1117","1120"
"177.38.240.74","elite","AS52974","BR","Henet Telecomunicacoes Ltda","219","Araujo Moura Construção e Comercio Ltda ME","4153","socks4","682","1","2023-02-24T17:08:08.395Z","100","1105","1110"
"109.127.82.114","elite","AS21277","IQ","Newroz Telecom","83","N/A","5678","socks4","652","1","2023-02-24T17:08:08.398Z","100","1121","1121"
"185.169.181.22","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","982","1","2023-02-24T17:08:08.000Z","100","1119","1120"
"200.140.83.108","elite","AS8167","BR","V tal","279","Brasil Telecom Comunicacao Multimidia S.A","6588","socks5","947","1","2023-02-24T17:08:08.001Z","99","1011","1025"
